COD_PRODUTO;PRODUTO;FORNECEDOR;COD_CLASS1;COD_CLASS2;COD_CLASSIFICACAO;CLASS1;CLASS2;CLASSIFICACAO;COD_GRUPO;Desc Grupo;
022511;LAVA E SECA WD6000 10,2KG WD10J6410AXFAZ INOX;;03;0301;030106;ELETRO;ELETRO ELETRODOMESTICO;ELETRO ELETRODOMESTICO LAVADORA;1001;ELETRODOMESTICOS;
022512;LAVADORA WD103U4SAWQFAZ 10,1KG SNIPER BR;;03;0301;030106;ELETRO;ELETRO ELETRODOMESTICO;ELETRO ELETRODOMESTICO LAVADORA;1001;ELETRODOMESTICOS;
022513;LAVADORA SEINE 10,1KG 220V WF106U4SAWQFAZ BR;;03;0301;030106;ELETRO;ELETRO ELETRODOMESTICO;ELETRO ELETRODOMESTICO LAVADORA;1001;ELETRODOMESTICOS;
022514;COLCHAO DUROSPRING VIP 088X188X30;;05;0509;050901;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO COLCHAO;1005;COLCHAO;
022515;CASE E SUP.DOUBLE SMART COVER BO219 CZ;;01;0103;010314;TECNOLOGIA;TECNOLOGIA INFORMATICA;TECNOLOGIA INFORMATICA ACESSORIO;1008;INFORMATICA;
022516;COLCHAO DUROSPRING VIP 138X188X30;;05;0509;050901;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO COLCHAO;1005;COLCHAO;
022517;DVD VS VCD MATRIX 3 VERSAO;;01;0101;010102;TECNOLOGIA;TECNOLOGIA TV E VIDEO;TECNOLOGIA TV E VIDEO DVD;1003;TV E VIDEO;
022518;COLCHAO DUROSPRING VIP 158X198X30;;05;0509;050901;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO COLCHAO;1005;COLCHAO;
022519;ARM 3PT CORR C/ESP DECOR GRISS/BLACK;;05;0501;050101;MOVEIS;MOVEIS QUARTO;MOVEIS QUARTO GUARDA-ROUPA;1000;MOVEIS;
022520;COLCHAO PLATINUM 088X188X32;;05;0509;050901;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO COLCHAO;1005;COLCHAO;
