COD_PRODUTO;PRODUTO;FORNECEDOR;COD_CLASS1;COD_CLASS2;COD_CLASSIFICACAO;CLASS1;CLASS2;CLASSIFICACAO;COD_GRUPO;Desc Grupo;
022409;CAMA SOLTEIRO LIVIA MOCCACINO;;05;0501;050103;MOVEIS;MOVEIS QUARTO;MOVEIS QUARTO CAMA;1000;MOVEIS;
022410;CAMA SOLTEIRO LIVIA BRANCO/PT;;05;0501;050103;MOVEIS;MOVEIS QUARTO;MOVEIS QUARTO CAMA;1000;MOVEIS;
022411;CAMA SOLTEIRO LIVIA CARV/PT;;05;0501;050103;MOVEIS;MOVEIS QUARTO;MOVEIS QUARTO CAMA;1000;MOVEIS;
022412;CAMA SOLTEIRO LIVIA AVELA/CAST;;05;0501;050103;MOVEIS;MOVEIS QUARTO;MOVEIS QUARTO CAMA;1000;MOVEIS;
022413;CAMA SOLTEIRO LIVIA BRANCO/RS;;05;0501;050103;MOVEIS;MOVEIS QUARTO;MOVEIS QUARTO CAMA;1000;MOVEIS;
022414;CAMA SOLTEIRO LIVIA BRANCO/LILAS;;05;0501;050103;MOVEIS;MOVEIS QUARTO;MOVEIS QUARTO CAMA;1000;MOVEIS;
022415;CAMA SOLTEIRO LIVIA BRANCO/AZUL;;05;0501;050103;MOVEIS;MOVEIS QUARTO;MOVEIS QUARTO CAMA;1000;MOVEIS;
022416;CAMA SOLTEIRO LIVIA BRANCO/BR;;05;0501;050103;MOVEIS;MOVEIS QUARTO;MOVEIS QUARTO CAMA;1000;MOVEIS;
022417;"TELEVISOR SMART 40"" UN40K6500 SAMSUNG";;01;0101;010106;TECNOLOGIA;TECNOLOGIA TV E VIDEO;TECNOLOGIA TV E VIDEO SMART TV;1003;TV E VIDEO;
022418;"TELEVISOR SMART 49"" UN48J5200AGXZD SAMSUNG";;01;0101;010106;TECNOLOGIA;TECNOLOGIA TV E VIDEO;TECNOLOGIA TV E VIDEO SMART TV;1003;TV E VIDEO;
022419;"TELEVISOR SMART 49"" UN49K6500 SAMSUNG";;01;0101;010106;TECNOLOGIA;TECNOLOGIA TV E VIDEO;TECNOLOGIA TV E VIDEO SMART TV;1003;TV E VIDEO;
022420;"TELEVISOR SMART 50"" 4K UN50KU6000 SAMSUNG";;01;0101;010106;TECNOLOGIA;TECNOLOGIA TV E VIDEO;TECNOLOGIA TV E VIDEO SMART TV;1003;TV E VIDEO;
022421;"TELEVISOR SMART 55"" 4K UN55KU6500 SAMSUNG";;01;0101;010106;TECNOLOGIA;TECNOLOGIA TV E VIDEO;TECNOLOGIA TV E VIDEO SMART TV;1003;TV E VIDEO;
022422;ESPREMEDOR ES-6015 PT2 SEMP TCL;;03;0303;030307;ELETRO;ELETRO ELETROPORTATEIS;ELETRO ELETROPORTATEIS ESPREMEDOR;1006;ELETROPORTATEIS;
