COD_PRODUTO;PRODUTO;FORNECEDOR;COD_CLASS1;COD_CLASS2;COD_CLASSIFICACAO;CLASS1;CLASS2;CLASSIFICACAO;Cod Grupo;Desc Grupo;ATIVO;
001177;RADIO CABECEIRA RC 1003 AM FM;;;;;;;;1004;AUDIO E SOM;N;
001178;RADIO PORTATIL RP 1002 AM FM;;;;;;;;1000;MOVEIS;N;
001180;FOGAO WHITE WESTINGHOUSE;;;;;;;;1000;MOVEIS;N;
001186;ESTOFADO CAPRI;;;;;;;;1000;MOVEIS;N;
001190;SALA MILLU PINUS;;;;;;;;1000;MOVEIS;N;
001192;REFRIGERADOR 253 LITROS ESATTA;;;;;;;;1000;MOVEIS;N;
001193;ESTANTE JULIANE IMBUIA;;;;;;;;1000;MOVEIS;N;
001194;CONJUNTO ZULEICA;;;;;;;;1000;MOVEIS;N;
001195;CAMA SOLT. AQUARIUS MC 88;;;;;;;;1000;MOVEIS;N;
001196;COMODA VENUS MC 92;;;;;;;;1000;MOVEIS;N;
