,Observed,trend,seasonal,resid
2015-01-02,10.0,0.0,0.39848396758280474,0.0
2015-01-03,8.0,0.0,-0.31663231148696264,0.0
2015-01-05,6.0,0.0,0.502359936575053,0.0
2015-01-06,3.0,0.0,0.32018939393939405,0.0
2015-01-07,8.0,0.0,-0.0026788231148695465,0.0
2015-01-08,9.0,0.0,0.024065362931642017,0.0
2015-01-09,12.0,0.0,-0.06663231148696266,0.0
2015-01-10,11.0,0.0,0.37755373502466516,0.0
2015-01-12,5.0,0.0,0.403910324171952,0.0
2015-01-13,3.0,0.0,0.12949171952078925,0.0
2015-01-14,6.0,0.0,-0.4011284355179704,0.0
2015-01-15,5.0,0.0,0.04189482029598302,0.0
2015-01-16,8.0,0.0,-0.02477184637068358,0.0
2015-01-17,11.0,0.0,-0.16004316420014106,0.0
2015-01-19,16.0,0.0,0.30894908386187453,0.0
2015-01-20,9.0,6.366666666666667,0.48017882311486965,2.1531545102184633
2015-01-21,6.0,6.199999999999999,0.12336064129668783,-0.3233606412966871
2015-01-22,7.0,6.283333333333333,0.40139094432699085,0.31527572233967593
2015-01-23,3.0,6.583333333333334,-0.14065451021846376,-3.4426788231148704
2015-01-24,4.0,6.65,-0.2955787526427061,-2.354421247357294
2015-01-26,5.0,6.633333333333334,-0.17550299506694858,-1.457830338266385
2015-01-27,1.0,6.583333333333333,0.05972427766032424,-5.643057610993657
2015-01-28,5.0,6.383333333333334,0.932072762508809,-2.3154060958421425
2015-01-29,3.0,6.2,-0.6300484496124032,-2.569951550387597
2015-01-30,9.0,6.116666666666666,-0.19519996476391824,3.078533298097252
2015-01-31,2.0,6.133333333333333,-0.6917908738548274,-3.4415424594785056
2015-02-02,1.0,6.216666666666667,-0.7736090556730091,-4.443057610993658
2015-02-03,7.0,6.35,-0.001128435517970391,0.6511284355179707
2015-02-04,4.0,6.266666666666666,-0.4356245595489781,-1.8310421071176877
2015-02-05,6.0,5.883333333333333,-0.19260130373502465,0.3092679704016918
2015-02-06,6.0,5.65,0.39848396758280474,-0.0484839675828051
2015-02-07,2.0,5.683333333333334,-0.31663231148696264,-3.366701021846371
2015-02-09,17.0,5.800000000000001,0.502359936575053,10.697640063424947
2015-02-10,10.0,5.983333333333333,0.32018939393939405,3.6964772727272726
2015-02-11,5.0,6.066666666666666,-0.0026788231148695465,-1.0639878435517969
2015-02-12,11.0,6.050000000000001,0.024065362931642017,4.925934637068357
2015-02-13,7.0,6.1,-0.06663231148696266,0.966632311486963
2015-02-14,4.0,6.133333333333333,0.37755373502466516,-2.510887068357998
2015-02-18,1.0,6.133333333333334,0.403910324171952,-5.537243657505286
2015-02-19,2.0,6.033333333333333,0.12949171952078925,-4.162825052854123
2015-02-20,8.0,5.966666666666667,-0.4011284355179704,2.4344617688513037
2015-02-21,8.0,6.033333333333333,0.04189482029598302,1.9247718463706838
2015-02-23,13.0,6.05,-0.02477184637068358,6.974771846370683
2015-02-24,1.0,6.049999999999999,-0.16004316420014106,-4.8899568357998575
2015-02-25,3.0,6.0166666666666675,0.30894908386187453,-3.325615750528542
2015-02-26,8.0,5.983333333333333,0.48017882311486965,1.536487843551797
2015-02-27,9.0,6.083333333333334,0.12336064129668783,2.7933060253699784
