,ENTREGA,CHIP CLARO ODA 128KB TRIPE,GE1 ELETROPORTATEIS,CHIP VIVO 4G 128K P19 HRS PRE,GE2 CELULAR,CHIP OI 4G 128KB,GE1 CELULAR,CHIP TIM INFINITY PRE HRD TRIPLO 4G,VENTILADOR 30 NV-15 3P BR 220V,CHIP TIM INFINITY PRE DUPLO 4G HDR NACIONAL
2015-03-20,8.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,12.0
2015-03-21,5.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0
2015-03-23,7.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,16.0
2015-03-24,6.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,11.0
2015-03-25,5.0,0.0,7.0,0.0,0.0,0.0,10.0,0.0,37.0,10.0
2015-03-26,15.0,0.0,8.0,0.0,0.0,0.0,5.0,0.0,25.0,10.0
2015-03-27,5.0,0.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0
2015-03-28,5.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,11.0
2015-03-30,3.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0
2015-03-31,7.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,4.0,9.0
2015-04-01,7.0,0.0,3.0,0.0,1.0,0.0,5.0,0.0,2.0,11.0
2015-04-02,8.0,0.0,3.0,2.0,0.0,0.0,6.0,0.0,3.0,7.0
2015-04-04,4.0,0.0,3.0,2.0,0.0,0.0,17.0,0.0,2.0,15.0
2015-04-06,10.0,0.0,6.0,0.0,0.0,0.0,19.0,0.0,5.0,18.0
2015-04-07,7.0,0.0,7.0,2.0,0.0,0.0,7.0,0.0,9.0,8.0
2015-04-08,5.0,0.0,6.0,3.0,0.0,0.0,7.0,0.0,4.0,8.0
2015-04-09,7.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,6.0
2015-04-10,5.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,3.0,10.0
2015-04-11,8.0,0.0,1.0,3.0,0.0,0.0,6.0,0.0,0.0,12.0
2015-04-13,10.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0,1.0,29.0
2015-04-14,7.0,0.0,4.0,4.0,1.0,0.0,6.0,0.0,0.0,15.0
2015-04-15,6.0,0.0,1.0,5.0,1.0,0.0,8.0,0.0,0.0,16.0
2015-04-16,5.0,0.0,5.0,3.0,1.0,0.0,8.0,0.0,0.0,17.0
2015-04-17,4.0,0.0,1.0,3.0,0.0,0.0,7.0,0.0,0.0,12.0
2015-04-18,7.0,0.0,1.0,4.0,0.0,0.0,7.0,0.0,0.0,14.0
2015-04-20,9.0,0.0,3.0,4.0,0.0,0.0,12.0,0.0,0.0,28.0
2015-04-21,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2015-04-22,3.0,0.0,0.0,4.0,0.0,0.0,9.0,0.0,4.0,13.0
2015-04-23,4.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,1.0,10.0
2015-04-24,9.0,0.0,7.0,3.0,0.0,0.0,8.0,0.0,2.0,9.0
2015-04-25,3.0,0.0,5.0,1.0,0.0,0.0,6.0,0.0,1.0,13.0
2015-04-27,8.0,0.0,7.0,3.0,0.0,0.0,9.0,0.0,11.0,6.0
2015-04-28,6.0,0.0,6.0,4.0,0.0,0.0,8.0,0.0,2.0,9.0
2015-04-29,11.0,0.0,5.0,5.0,0.0,0.0,7.0,0.0,5.0,10.0
2015-04-30,4.0,0.0,3.0,0.0,1.0,0.0,6.0,0.0,0.0,13.0
2015-05-02,7.0,0.0,4.0,1.0,1.0,0.0,7.0,0.0,1.0,8.0
2015-05-04,14.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,10.0
2015-05-05,8.0,0.0,4.0,0.0,1.0,0.0,4.0,0.0,0.0,10.0
2015-05-06,6.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0,1.0,8.0
2015-05-07,9.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,3.0,5.0
2015-05-08,7.0,0.0,7.0,0.0,0.0,1.0,7.0,0.0,2.0,8.0
2015-05-09,10.0,0.0,11.0,0.0,1.0,20.0,7.0,0.0,9.0,19.0
2015-05-10,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0
2015-05-11,13.0,0.0,2.0,0.0,0.0,5.0,7.0,0.0,0.0,13.0
2015-05-12,4.0,0.0,5.0,0.0,0.0,8.0,5.0,0.0,2.0,11.0
2015-05-13,3.0,0.0,2.0,0.0,0.0,10.0,6.0,0.0,1.0,4.0
2015-05-14,2.0,0.0,5.0,1.0,1.0,9.0,5.0,0.0,1.0,11.0
2015-05-15,4.0,0.0,5.0,0.0,0.0,7.0,8.0,0.0,2.0,9.0
