ds,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Ano Novo,Ano Novo_lower,Ano Novo_upper,Black friday,Black friday_lower,Black friday_upper,Dia das crianças,Dia das crianças_lower,Dia das crianças_upper,Dia das mães,Dia das mães_lower,Dia das mães_upper,Dia dos namorados,Dia dos namorados_lower,Dia dos namorados_upper,Dia dos pais,Dia dos pais_lower,Dia dos pais_upper,Natal,Natal_lower,Natal_upper,Páscoa,Páscoa_lower,Páscoa_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-01-01,2018-01-01,6.463727270225416,-12.532458908416958,10.56040159564094,6.463727270225416,6.463727270225416,-6.069348910155403,-6.069348910155403,-6.069348910155403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.687756533300675,-7.687756533300675,-7.687756533300675,-6.069348910155403,-6.069348910155403,-6.069348910155403,-0.2597739388411667,-0.2597739388411667,-0.2597739388411667,-1.3586336843041054,-1.3586336843041054,-1.3586336843041054,0.0,0.0,0.0,-1.2240292630752592
2018-01-02,2018-01-02,6.468587502087855,-7.209659381189729,16.62910069313928,6.468587502087855,6.468587502087855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3780484004145162,-1.3780484004145162,-1.3780484004145162,0.0,0.0,0.0,-0.4828584341856277,-0.4828584341856277,-0.4828584341856277,-0.8951899662288887,-0.8951899662288887,-0.8951899662288887,0.0,0.0,0.0,5.090539101673339
2018-01-03,2018-01-03,6.4734477339502945,-3.8126181966691286,19.00686434683413,6.4734477339502945,6.4734477339502945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.025020653699944,1.025020653699944,1.025020653699944,0.0,0.0,0.0,1.4588597499985145,1.4588597499985145,1.4588597499985145,-0.4338390962985704,-0.4338390962985704,-0.4338390962985704,0.0,0.0,0.0,7.498468387650238
2018-01-04,2018-01-04,6.478307965812733,-5.119239583445617,19.756912441763046,6.478307965812733,6.478307965812733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.012588756674914,1.012588756674914,1.012588756674914,0.0,0.0,0.0,0.9937794523479542,0.9937794523479542,0.9937794523479542,0.018809304326959923,0.018809304326959923,0.018809304326959923,0.0,0.0,0.0,7.490896722487647
2018-01-05,2018-01-05,6.483168197675171,-3.753290038355187,20.99156199969779,6.483168197675171,6.483168197675171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6947763001076421,1.6947763001076421,1.6947763001076421,0.0,0.0,0.0,1.2381369710137422,1.2381369710137422,1.2381369710137422,0.45663932909389987,0.45663932909389987,0.45663932909389987,0.0,0.0,0.0,8.177944497782814
2018-01-06,2018-01-06,6.488028429537611,-3.299152162176772,20.08164743084852,6.488028429537611,6.488028429537611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5903763442632697,1.5903763442632697,1.5903763442632697,0.0,0.0,0.0,0.7162829299864057,0.7162829299864057,0.7162829299864057,0.874093414276864,0.874093414276864,0.874093414276864,0.0,0.0,0.0,8.07840477380088
2018-01-07,2018-01-07,6.49288866140005,-8.052998868295017,15.1309841483093,6.49288866140005,6.49288866140005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.398201991924866,-2.398201991924866,-2.398201991924866,0.0,0.0,0.0,-3.6644267303082603,-3.6644267303082603,-3.6644267303082603,1.266224738383395,1.266224738383395,1.266224738383395,0.0,0.0,0.0,4.094686669475184
2018-01-08,2018-01-08,6.4977488932624885,-4.5702047540308275,18.917296631367652,6.4977488932624885,6.4977488932624885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.368963806969831,1.368963806969831,1.368963806969831,0.0,0.0,0.0,-0.2597739388455943,-0.2597739388455943,-0.2597739388455943,1.6287377458154255,1.6287377458154255,1.6287377458154255,0.0,0.0,0.0,7.86671270023232
2018-01-09,2018-01-09,6.502609125124927,-3.958041221573212,20.123314489834417,6.502609125124927,6.502609125124927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4751589090197106,1.4751589090197106,1.4751589090197106,0.0,0.0,0.0,-0.48285843418859214,-0.48285843418859214,-0.48285843418859214,1.9580173432083026,1.9580173432083026,1.9580173432083026,0.0,0.0,0.0,7.9777680341446375
2018-01-10,2018-01-10,6.507469356987366,-2.0486139883609833,22.267926041338296,6.507469356987366,6.507469356987366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7100072132607576,3.7100072132607576,3.7100072132607576,0.0,0.0,0.0,1.458859749996602,1.458859749996602,1.458859749996602,2.2511474632641546,2.2511474632641546,2.2511474632641546,0.0,0.0,0.0,10.217476570248124
